year,unique_id,buffer_pix_sum,buffer_pix_count,ring_pix_sum,ring_pix_count,buffer_area,ring_area,radius
1992,URY12,346,110,109,238,78413712.26364996,78413712.26364593,5000
1993,URY12,753,110,158,238,78413712.26364996,78413712.26364593,5000
1994,URY12,748,110,180,238,78413712.26364996,78413712.26364593,5000
1995,URY12,969,110,140,238,78413712.26364996,78413712.26364593,5000
1996,URY12,1076,110,169,238,78413712.26364996,78413712.26364593,5000
1997,URY12,1069,110,210,238,78413712.26364996,78413712.26364593,5000
1998,URY12,1228,110,245,238,78413712.26364996,78413712.26364593,5000
1999,URY12,1195,110,299,238,78413712.26364996,78413712.26364593,5000
2000,URY12,1183,110,408,238,78413712.26364996,78413712.26364593,5000
2001,URY12,1187,110,342,238,78413712.26364996,78413712.26364593,5000
2002,URY12,1206,110,272,238,78413712.26364996,78413712.26364593,5000
2003,URY12,1023,110,262,238,78413712.26364996,78413712.26364593,5000
2004,URY12,1297,110,299,238,78413712.26364996,78413712.26364593,5000
2005,URY12,1031,110,377,238,78413712.26364996,78413712.26364593,5000
2006,URY12,1275,110,317,238,78413712.26364996,78413712.26364593,5000
2007,URY12,1286,110,312,238,78413712.26364996,78413712.26364593,5000
2008,URY12,1370,110,327,238,78413712.26364996,78413712.26364593,5000
2009,URY12,1517,120,301,208,78413712.26364996,78413712.26364593,5000
2010,URY12,1527,120,334,208,78413712.26364996,78413712.26364593,5000
2011,URY12,1589,120,342,208,78413712.26364996,78413712.26364593,5000
2012,URY12,2068,110,663,238,78413712.26364996,78413712.26364593,5000
2013,URY12,2294,110,713,238,78413712.26364996,78413712.26364593,5000
2014,URY12,3021,110,1054,238,78413712.26364996,78413712.26364593,5000
2015,URY12,3054,110,1086,238,78413712.26364996,78413712.26364593,5000
2016,URY12,3025,110,1091,238,78413712.26364996,78413712.26364593,5000
2017,URY12,3097,110,1139,238,78413712.26364996,78413712.26364593,5000
2018,URY12,3074,110,1136,238,78413712.26364996,78413712.26364593,5000
1992,URY2,618,120,352,224,78413712.26364996,78413712.26364593,5000
1993,URY2,1266,120,467,224,78413712.26364996,78413712.26364593,5000
1994,URY2,1218,120,505,224,78413712.26364996,78413712.26364593,5000
1995,URY2,1697,120,652,224,78413712.26364996,78413712.26364593,5000
1996,URY2,1833,120,692,224,78413712.26364996,78413712.26364593,5000
1997,URY2,1599,120,652,224,78413712.26364996,78413712.26364593,5000
1998,URY2,1911,120,669,224,78413712.26364996,78413712.26364593,5000
1999,URY2,1865,120,827,224,78413712.26364996,78413712.26364593,5000
2000,URY2,1775,120,884,224,78413712.26364996,78413712.26364593,5000
2001,URY2,1711,120,834,224,78413712.26364996,78413712.26364593,5000
2002,URY2,1925,120,714,224,78413712.26364996,78413712.26364593,5000
2003,URY2,1767,120,793,224,78413712.26364996,78413712.26364593,5000
2004,URY2,1923,120,706,224,78413712.26364996,78413712.26364593,5000
2005,URY2,1395,120,824,224,78413712.26364996,78413712.26364593,5000
2006,URY2,1404,120,653,224,78413712.26364996,78413712.26364593,5000
2007,URY2,1503,120,679,224,78413712.26364996,78413712.26364593,5000
2008,URY2,1525,120,663,224,78413712.26364996,78413712.26364593,5000
2009,URY2,1844,108,586,208,78413712.26364996,78413712.26364593,5000
2010,URY2,1754,108,696,208,78413712.26364996,78413712.26364593,5000
2011,URY2,2037,108,589,208,78413712.26364996,78413712.26364593,5000
2012,URY2,1974,120,1009,224,78413712.26364996,78413712.26364593,5000
2013,URY2,2032,120,901,224,78413712.26364996,78413712.26364593,5000
2014,URY2,2572,120,1062,224,78413712.26364996,78413712.26364593,5000
2015,URY2,2777,120,1250,224,78413712.26364996,78413712.26364593,5000
2016,URY2,2719,120,1195,224,78413712.26364996,78413712.26364593,5000
2017,URY2,2649,120,1244,224,78413712.26364996,78413712.26364593,5000
2018,URY2,2612,120,1226,224,78413712.26364996,78413712.26364593,5000
1992,COL2,3612,144,3167,256,78413712.26365012,78413712.26364519,5000
1993,COL2,4440,144,3659,256,78413712.26365012,78413712.26364519,5000
1994,COL2,4229,144,3586,256,78413712.26365012,78413712.26364519,5000
1995,COL2,4526,144,3777,256,78413712.26365012,78413712.26364519,5000
1996,COL2,4506,144,3752,256,78413712.26365012,78413712.26364519,5000
1997,COL2,4398,144,3645,256,78413712.26365012,78413712.26364519,5000
1998,COL2,4875,144,4067,256,78413712.26365012,78413712.26364519,5000
1999,COL2,4518,144,3741,256,78413712.26365012,78413712.26364519,5000
2000,COL2,4349,144,3633,256,78413712.26365012,78413712.26364519,5000
2001,COL2,4535,144,3765,256,78413712.26365012,78413712.26364519,5000
2002,COL2,4431,144,3655,256,78413712.26365012,78413712.26364519,5000
2003,COL2,4626,144,3842,256,78413712.26365012,78413712.26364519,5000
2004,COL2,4625,144,3797,256,78413712.26365012,78413712.26364519,5000
2005,COL2,4646,144,3788,256,78413712.26365012,78413712.26364519,5000
2006,COL2,4475,144,3666,256,78413712.26365012,78413712.26364519,5000
2007,COL2,4637,144,3849,256,78413712.26365012,78413712.26364519,5000
2008,COL2,4578,144,3770,256,78413712.26365012,78413712.26364519,5000
2009,COL2,4685,132,3563,272,78413712.26365012,78413712.26364519,5000
2010,COL2,4528,132,3479,272,78413712.26365012,78413712.26364519,5000
2011,COL2,5157,132,3924,272,78413712.26365012,78413712.26364519,5000
2012,COL2,4719,144,3856,256,78413712.26365012,78413712.26364519,5000
2013,COL2,4835,144,3979,256,78413712.26365012,78413712.26364519,5000
2014,COL2,5197,144,4296,256,78413712.26365012,78413712.26364519,5000
2015,COL2,5202,144,4353,256,78413712.26365012,78413712.26364519,5000
2016,COL2,5220,144,4386,256,78413712.26365012,78413712.26364519,5000
2017,COL2,5217,144,4344,256,78413712.26365012,78413712.26364519,5000
2018,COL2,5227,144,4455,256,78413712.26365012,78413712.26364519,5000
1992,GUY3,2451,121,1163,289,78413712.26365049,78413712.26364465,5000
1993,GUY3,2605,121,1086,289,78413712.26365049,78413712.26364465,5000
1994,GUY3,2694,121,1150,289,78413712.26365049,78413712.26364465,5000
1995,GUY3,3238,121,1349,289,78413712.26365049,78413712.26364465,5000
1996,GUY3,3240,121,1220,289,78413712.26365049,78413712.26364465,5000
1997,GUY3,3525,121,1441,289,78413712.26365049,78413712.26364465,5000
1998,GUY3,3396,121,1547,289,78413712.26365049,78413712.26364465,5000
1999,GUY3,3498,121,1578,289,78413712.26365049,78413712.26364465,5000
2000,GUY3,3558,121,1680,289,78413712.26365049,78413712.26364465,5000
2001,GUY3,3535,121,1657,289,78413712.26365049,78413712.26364465,5000
2002,GUY3,3681,121,1671,289,78413712.26365049,78413712.26364465,5000
2003,GUY3,3554,121,1658,289,78413712.26365049,78413712.26364465,5000
2004,GUY3,3489,121,1594,289,78413712.26365049,78413712.26364465,5000
2005,GUY3,3328,121,1671,289,78413712.26365049,78413712.26364465,5000
2006,GUY3,3660,121,1750,289,78413712.26365049,78413712.26364465,5000
2007,GUY3,3683,121,1731,289,78413712.26365049,78413712.26364465,5000
2008,GUY3,3524,121,1668,289,78413712.26365049,78413712.26364465,5000
2009,GUY3,3463,144,1827,256,78413712.26365049,78413712.26364465,5000
2010,GUY3,3725,144,1880,256,78413712.26365049,78413712.26364465,5000
2011,GUY3,3739,144,1892,256,78413712.26365049,78413712.26364465,5000
2012,GUY3,3944,121,2069,289,78413712.26365049,78413712.26364465,5000
2013,GUY3,4106,121,2057,289,78413712.26365049,78413712.26364465,5000
2014,GUY3,4201,121,2178,289,78413712.26365049,78413712.26364465,5000
2015,GUY3,4361,121,2353,289,78413712.26365049,78413712.26364465,5000
2016,GUY3,4553,121,2574,289,78413712.26365049,78413712.26364465,5000
2017,GUY3,4689,121,2836,289,78413712.26365049,78413712.26364465,5000
2018,GUY3,4668,121,2822,289,78413712.26365049,78413712.26364465,5000
1992,IND186,1778,132,1489,240,78413712.26364996,78413712.26364593,5000
1993,IND186,1938,132,1524,240,78413712.26364996,78413712.26364593,5000
1994,IND186,2014,132,1606,240,78413712.26364996,78413712.26364593,5000
1995,IND186,2224,132,1779,240,78413712.26364996,78413712.26364593,5000
1996,IND186,2673,132,1984,240,78413712.26364996,78413712.26364593,5000
1997,IND186,2877,132,2226,240,78413712.26364996,78413712.26364593,5000
1998,IND186,2394,132,2052,240,78413712.26364996,78413712.26364593,5000
1999,IND186,2516,132,2280,240,78413712.26364996,78413712.26364593,5000
2000,IND186,2572,132,2382,240,78413712.26364996,78413712.26364593,5000
2001,IND186,2560,132,2473,240,78413712.26364996,78413712.26364593,5000
2002,IND186,3039,132,2678,240,78413712.26364996,78413712.26364593,5000
2003,IND186,2565,132,2451,240,78413712.26364996,78413712.26364593,5000
2004,IND186,3073,132,2551,240,78413712.26364996,78413712.26364593,5000
2005,IND186,2622,132,2417,240,78413712.26364996,78413712.26364593,5000
2006,IND186,2679,132,2376,240,78413712.26364996,78413712.26364593,5000
2007,IND186,2882,132,2476,240,78413712.26364996,78413712.26364593,5000
2008,IND186,2932,132,2444,240,78413712.26364996,78413712.26364593,5000
2009,IND186,3385,132,2610,240,78413712.26364996,78413712.26364593,5000
2010,IND186,3390,132,2762,240,78413712.26364996,78413712.26364593,5000
2011,IND186,3583,132,2853,240,78413712.26364996,78413712.26364593,5000
2012,IND186,3328,132,2832,240,78413712.26364996,78413712.26364593,5000
2013,IND186,3358,132,2740,240,78413712.26364996,78413712.26364593,5000
2014,IND186,3790,132,2898,240,78413712.26364996,78413712.26364593,5000
2015,IND186,3832,132,3010,240,78413712.26364996,78413712.26364593,5000
2016,IND186,3830,132,3116,240,78413712.26364996,78413712.26364593,5000
2017,IND186,3839,132,3200,240,78413712.26364996,78413712.26364593,5000
2018,IND186,3925,132,3249,240,78413712.26364996,78413712.26364593,5000
1992,DOM5,2326,121,859,255,78413712.26365012,78413712.26364519,5000
1993,DOM5,2480,121,930,255,78413712.26365012,78413712.26364519,5000
1994,DOM5,2248,121,939,255,78413712.26365012,78413712.26364519,5000
1995,DOM5,2564,121,1094,255,78413712.26365012,78413712.26364519,5000
1996,DOM5,2705,121,1156,255,78413712.26365012,78413712.26364519,5000
1997,DOM5,2866,121,1215,255,78413712.26365012,78413712.26364519,5000
1998,DOM5,2544,121,1096,255,78413712.26365012,78413712.26364519,5000
1999,DOM5,3207,121,1514,255,78413712.26365012,78413712.26364519,5000
2000,DOM5,3343,121,1746,255,78413712.26365012,78413712.26364519,5000
2001,DOM5,3435,121,1873,255,78413712.26365012,78413712.26364519,5000
2002,DOM5,3683,121,1956,255,78413712.26365012,78413712.26364519,5000
2003,DOM5,3455,121,1891,255,78413712.26365012,78413712.26364519,5000
